name,length,vocabulary,volume,difficulty,effort,level,bugs,time,intelligentContent,number_operators,number_operands,number_operators_unique,number_operands_unique,ccn,ccnMethodMax,kanDefect,mi,mIwoC,commentWeight,externals,parents,lcom,relativeStructuralComplexity,relativeDataComplexity,relativeSystemComplexity,totalStructuralComplexity,totalDataComplexity,totalSystemComplexity,cloc,loc,lloc,methods,nbMethodsIncludingGettersSetters,nbMethods,nbMethodsPrivate,nbMethodsPublic,nbMethodsGetter,nbMethodsSetters,afferentCoupling,efferentCoupling,instability,depthOfInheritanceTree,pageRank
"App\Models\User",8,7,22.46,0,0,1.75,0.01,0,39.3,0,8,0,7,1,0,0.15,118.88,70.7,48.17,N/A,N/A,0,0,0,0,0,0,0,19,27,8,N/A,0,0,0,0,0,0,4,1,0.2,N/A,0.15
"App\Models\Device",9,7,25.27,0.58,14.74,1.71,0.01,1,43.31,2,7,1,6,1,1,0.15,82.13,63.78,18.35,N/A,N/A,2,4,0.67,4.67,8,1.33,9.33,1,17,16,N/A,2,2,0,2,0,0,1,1,0.5,N/A,0.08
"App\Models\Land",31,18,129.27,1.5,193.9,0.67,0.04,11,86.18,7,24,2,16,2,2,0.15,54.08,54.08,0,N/A,N/A,3,25,0.67,25.67,100,2.67,102.67,0,26,26,N/A,4,4,1,3,0,0,4,3,0.43,N/A,0.25
"App\Http\Controllers\AuthController",49,24,224.66,3.7,831.25,0.27,0.07,46,60.72,12,37,4,20,4,3,0.29,47.36,47.36,0,N/A,N/A,5,81,0.83,81.83,486,5,491,0,43,43,N/A,6,6,0,6,0,0,0,4,1,N/A,0.04
"App\Http\Controllers\LandController",183,44,999.08,11.76,11752.29,0.09,0.33,653,84.93,34,149,6,38,8,4,0.36,50.66,37.81,12.85,N/A,N/A,7,576,0.56,576.56,4032,3.92,4035.92,2,71,69,N/A,7,7,0,7,0,0,0,5,1,N/A,0.04
"App\Http\Controllers\DashboardController",13,8,39,1.5,58.5,0.67,0.01,3,26,4,9,2,6,1,1,0.15,63.72,63.72,0,N/A,N/A,2,16,0.4,16.4,32,0.8,32.8,0,14,14,N/A,2,2,0,2,0,0,0,3,1,N/A,0.04
"App\Http\Controllers\UserController",61,25,283.28,3.2,907.77,0.31,0.09,50,88.4,14,47,3,22,2,2,0.22,64.23,45.89,18.35,N/A,N/A,8,225,0.43,225.43,1800,3.44,1803.44,3,51,48,N/A,8,8,0,8,0,0,0,5,1,N/A,0.04
"App\Http\Controllers\LandDeviceController",87,24,398.89,6.6,2632.69,0.15,0.13,146,60.44,21,66,4,20,4,3,0.22,67.46,42.95,24.51,N/A,N/A,7,169,0.77,169.77,1183,5.36,1188.36,7,64,57,N/A,7,7,0,7,0,0,0,5,1,N/A,0.04
"App\Http\Controllers\QualityDetectorController",4,3,6.34,0.75,4.75,1.33,0,0,8.45,1,3,1,2,1,1,0.15,74.55,74.55,0,N/A,N/A,1,0,2,2,0,2,2,0,8,8,N/A,1,1,0,1,0,0,0,2,1,N/A,0.04
"App\Http\Controllers\Controller",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.15,171,171,0,N/A,N/A,0,0,0,0,0,0,0,0,5,5,N/A,0,0,0,0,0,0,6,1,0.14,N/A,0.18
"App\Http\Livewire\Components\LandCard",6,5,13.93,1.33,18.58,0.75,0,1,10.45,2,4,2,3,1,1,0.15,67.56,67.56,0,N/A,N/A,1,0,1.5,1.5,0,3,3,0,13,13,N/A,2,1,0,1,0,1,0,1,1,N/A,0.04
"App\Helpers\DatatableHelper",17,10,56.47,1.88,105.89,0.53,0.02,6,30.12,2,15,2,8,1,1,0.15,66.78,66.78,0,N/A,N/A,1,1,3,4,1,3,4,0,9,9,N/A,1,1,0,1,0,0,1,0,0,N/A,0.05
